,disease
1343,"Deafness, Progressive, with Stapes Fixation"
1344,Ulnar Hypoplasia with Lobster-Claw Deformity of Feet
1345,Autoimmune Pancreatitis Type 2
1346,Drug-Induced Vasculitis
1347,"Spondyloepiphyseal Dysplasia, Myopia, and Sensorineural Deafness"
1348,Severe Hereditary Thrombophilia Due to Congenital Protein S Deficiency
1349,Igg4-Related Submandibular Gland Disease
1350,"Gigantiform Cementoma, Familial"
1351,Neonatal Antiphospholipid Syndrome
1352,Neonatal Dermatomyositis
1353,Unclassified Vasculitis
1354,Neonatal Scleroderma
1355,Oligoarticular Juvenile Idiopathic Arthritis Without Anti-Nuclear Antibodies
1356,Oligoarticular Juvenile Idiopathic Arthritis with Anti-Nuclear Antibodies
1357,Postinfectious Vasculitis
1358,Familial Clubfoot with or Without Associated Lower Limb Anomalies
1359,"Leukemia, Chronic Lymphocytic"
1360,"Leukemia, Chronic Lymphocytic"
1361,"Leukemia, Chronic Lymphocytic"
1362,Acute Lymphocytic Leukemia
1363,Acute Lymphocytic Leukemia
1364,Lymphocytic Leukemia
1365,Lymphocytic Leukemia
1366,Lymphocytic Leukemia
1367,Chordoma
1368,Acute Promyelocytic Leukemia
1369,Acute Promyelocytic Leukemia
1370,Acute Promyelocytic Leukemia
1371,Leukemia
1372,Leukemia
1373,Leukemia
1374,Parathyroid Carcinoma
1375,Parathyroid Carcinoma
1376,Myeloproliferative Neoplasm
1377,Acute Leukemia
1378,Acute Leukemia
1379,Cherubism
1380,Cherubism
1381,Encephalocraniocutaneous Lipomatosis
1382,Duane-Radial Ray Syndrome
1383,Duane-Radial Ray Syndrome
1384,Sideroblastic Anemia
1385,Mandibular Cancer
1386,"Thyroid Hormone Metabolism, Abnormal"
1387,Chronic Kidney Failure
1388,Chronic Kidney Failure
1389,Chronic Kidney Failure
1390,Kidney Disease
1391,Kidney Disease
1392,Kidney Disease
1393,"Neurofibromatosis, Type I"
1394,"Scleroderma, Familial Progressive"
1395,"Scleroderma, Familial Progressive"
1396,"Scleroderma, Familial Progressive"
1397,"Scleroderma, Familial Progressive"
1398,"Thrombocytopenic Purpura, Autoimmune"
1399,"Thrombocytopenic Purpura, Autoimmune"
1400,Undifferentiated Pleomorphic Sarcoma
1401,Tetanus
1402,Tetanus
1403,Tetanus
1404,Tetanus
1405,Hutchinson-Gilford Progeria Syndrome
1406,Hutchinson-Gilford Progeria Syndrome
1407,Dermatomyositis
1408,Dermatomyositis
1409,Dermatomyositis
1410,Dermatomyositis
1411,Dermatomyositis
1412,Cinca Syndrome
1413,Cinca Syndrome
1414,Menkes Disease
1415,Proteus Syndrome
1416,Proteus Syndrome
1417,"Periodic Fever, Familial, Autosomal Dominant"
1418,"Periodic Fever, Familial, Autosomal Dominant"
1419,"Chromosome 16p13.3 Deletion Syndrome, Proximal"
1420,"Chromosome 16p13.3 Deletion Syndrome, Proximal"
1421,Mixed Connective Tissue Disease
1422,Mixed Connective Tissue Disease
1423,Primary Hyperparathyroidism
1424,Primary Hyperparathyroidism
1425,Buerger Disease
1426,Buerger Disease
1427,"Ehlers-Danlos Syndrome, Vascular Type"
1428,Hemifacial Microsomia
1429,Hemifacial Microsomia
1430,Hemifacial Microsomia
1431,Mevalonic Aciduria
1432,Mevalonic Aciduria
1433,Coffin-Siris Syndrome 1
1434,Adult Syndrome
1435,Adult Syndrome
1436,"Leukocyte Adhesion Deficiency, Type Iii"
1437,Townes-Brocks Syndrome
1438,Hypersensitivity Vasculitis
1439,Hypersensitivity Vasculitis
1440,Hypersensitivity Vasculitis
1441,"Cryoglobulinemia, Familial Mixed"
1442,"Cryoglobulinemia, Familial Mixed"
1443,Acute Kidney Failure
1444,Acute Kidney Failure
1445,Acute Kidney Failure
1446,Cyclic Neutropenia
1447,Eosinophilic Granulomatosis with Polyangiitis
1448,Chylomicron Retention Disease
1449,Chylomicron Retention Disease
1450,Chylomicron Retention Disease
1451,Pigmented Villonodular Synovitis
1452,Pigmented Villonodular Synovitis
1453,Isolated Growth Hormone Deficiency
1454,Isolated Growth Hormone Deficiency
1455,Adams-Oliver Syndrome
1456,"Mannosidosis, Beta a, Lysosomal"
1457,Rosai-Dorfman Disease
1458,Malignant Histiocytosis
1459,Familial Hypocalciuric Hypercalcemia
1460,Familial Hypocalciuric Hypercalcemia
1461,Autoimmune Pancreatitis
1462,Schimke Immunoosseous Dysplasia
1463,Cystic Echinococcosis
1464,Cystic Echinococcosis
1465,Cystic Echinococcosis
1466,Cystic Echinococcosis
1467,Cystic Echinococcosis
1468,"Amegakaryocytic Thrombocytopenia, Congenital"
1469,"Insensitivity to Pain, Congenital, with Anhidrosis"
1470,Ulnar-Mammary Syndrome
1471,Reynolds Syndrome
1472,Reynolds Syndrome
1473,Catastrophic Antiphospholipid Syndrome
1474,"Cerebral Amyloid Angiopathy, App-Related"
1475,"Cerebral Amyloid Angiopathy, App-Related"
1476,Oliver Syndrome
1477,Familial Isolated Hyperparathyroidism
1478,"Renal Tubular Acidosis, Distal"
1479,"Inflammatory Bowel Disease 25, Autosomal Recessive"
1480,Marshall Syndrome
1481,"Mental Retardation, Autosomal Dominant 20"
1482,"Mental Retardation, X-Linked, Syndromic 13"
1483,"Mental Retardation, X-Linked, Syndromic 13"
1484,"Hypocalciuric Hypercalcemia, Familial, Type Iii"
1485,"Hypocalciuric Hypercalcemia, Familial, Type Iii"
1486,Acromelic Frontonasal Dysostosis
1487,Immunodeficiency 21
1488,Immunodeficiency 21
1489,"Pigmentary Disorder, Reticulate, with Systemic Manifestations, X-Linked"
1490,"Pigmentary Disorder, Reticulate, with Systemic Manifestations, X-Linked"
1491,Aromatase Excess Syndrome
1492,Aromatase Excess Syndrome
1493,Pseudo-Torch Syndrome 1
1494,"Vertical Talus, Congenital"
1495,Wieacker-Wolff Syndrome
1496,Wieacker-Wolff Syndrome
1497,Susac Syndrome
1498,Primary Angiitis of the Central Nervous System
1499,Acrocephalopolydactylous Dysplasia
1500,Acrocephalopolydactylous Dysplasia
1501,"Gaucher Disease, Type Iiic"
1502,Curry-Jones Syndrome
1503,"Mental Retardation, Autosomal Dominant 22"
1504,Familial Cold Autoinflammatory Syndrome 3
1505,Familial Cold Autoinflammatory Syndrome 3
1506,"Mental Retardation, Autosomal Dominant 26"
1507,"Mental Retardation, Autosomal Recessive 36"
1508,"Mental Retardation, Autosomal Dominant 18"
1509,"Mental Retardation, X-Linked, Syndromic, 35"
1510,Ramon Syndrome
1511,"Mental Retardation, Autosomal Recessive 40"
1512,"Mental Retardation, Autosomal Recessive 39"
1513,"Mental Retardation, Autosomal Dominant 31"
1514,"Mental Retardation, Autosomal Recessive 41"
1515,Salih Myopathy
1516,"Mental Retardation, Autosomal Dominant 23"
1517,"Mental Retardation, Autosomal Recessive 37"
1518,"Mental Retardation, X-Linked, Syndromic, Wu Type"
1519,"Mental Retardation, X-Linked, Syndromic, Wu Type"
1520,"Mental Retardation, Autosomal Dominant 21"
1521,Necrotizing Autoimmune Myopathy
1522,"Mental Retardation, Autosomal Recessive 35"
1523,Lowry-Maclean Syndrome
1524,Metaphyseal Acroscyphodysplasia
1525,"Mental Retardation, X-Linked, Syndromic 9"
1526,"Mental Retardation, X-Linked, Syndromic 9"
1527,Tafro Syndrome
1528,Autoimmune Pancreatitis Type 1
1529,"Spondyloepimetaphyseal Dysplasia, X-Linked, with Mental Deterioration"
1530,"Spondyloepiphyseal Dysplasia with Coronal Craniosynostosis, Cataracts, Cleft Palate, and Mental Retardation"
1531,Vascular Hyalinosis
1532,"Mental Retardation, X-Linked, with Craniofacial Dysmorphism"
1533,Viljoen Kallis Voges Syndrome
1534,Aapoai Amyloidosis
1535,Ulnar Hypoplasia with Mental Retardation
1536,Spondyloepiphyseal Dysplasia Tarda with Mental Retardation
1537,Afib Amyloidosis
1538,Corpus Callosum Agenesis-Intellectual Disability-Coloboma-Micrognathia Syndrome
1539,Aapoaii Amyloidosis
1540,Renal Infectious Disease
1541,Ewing Sarcoma
1542,Ewing Sarcoma
1543,Ewing Sarcoma
1544,Ewing Sarcoma
1545,Ewing Sarcoma
1546,Li-Fraumeni Syndrome
1547,Hairy Cell Leukemia
1548,Hairy Cell Leukemia
1549,Hairy Cell Leukemia
1550,Acrocallosal Syndrome
1551,Acute Pancreatitis
1552,Acute Pancreatitis
1553,Familial Cold Autoinflammatory Syndrome 1
1554,Dihydropyrimidine Dehydrogenase Deficiency
1555,"Tumoral Calcinosis, Hyperphosphatemic, Familial, 1"
1556,"Tumoral Calcinosis, Hyperphosphatemic, Familial, 1"
1557,"Carnitine Deficiency, Systemic Primary"
1558,"Carnitine Deficiency, Systemic Primary"
1559,Reye Syndrome
1560,Reye Syndrome
1561,Reye Syndrome
1562,"Amyloidosis, Finnish Type"
1563,"Amyloidosis, Familial Visceral"
1564,Periventricular Nodular Heterotopia
1565,"Cutis Laxa, Autosomal Dominant 1"
1566,"Cutis Laxa, Autosomal Dominant 1"
1567,Aicardi Syndrome
1568,Aicardi Syndrome
1569,Aicardi Syndrome
1570,"Hypocalciuric Hypercalcemia, Familial, Type I"
1571,"Hypocalciuric Hypercalcemia, Familial, Type I"
1572,"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, and Genital Anomalies"
1573,Recurrent Acute Pancreatitis
1574,Recurrent Acute Pancreatitis
1575,Recurrent Acute Pancreatitis
1576,"Cerebral Amyloid Angiopathy, Itm2b-Related, 2"
1577,"Cerebral Amyloid Angiopathy, Itm2b-Related, 2"
1578,"Meckel Syndrome, Type 7"
1579,Temtamy Preaxial Brachydactyly Syndrome
1580,"Craniostenosis, Sagittal, with Congenital Heart Disease, Mental Deficiency, and Mandibular Ankylosis"
1581,"Scaphocephaly, Maxillary Retrusion, and Mental Retardation"
1582,Familial Cold Autoinflammatory Syndrome 4
1583,Autoimmune Hemolytic Anemia-Autoimmune Thrombocytopenia-Primary Immunodeficiency Syndrome
1584,"Metaphyseal Dysostosis, Mental Retardation, and Conductive Deafness"
1585,Essential Thrombocythemia
1586,Essential Thrombocythemia
1587,Essential Thrombocythemia
1588,Aicardi-Goutieres Syndrome
1589,Aicardi-Goutieres Syndrome
1590,Muckle-Wells Syndrome
1591,"Cerebral Amyloid Angiopathy, Itm2b-Related, 1"
1592,"Cerebral Amyloid Angiopathy, Itm2b-Related, 1"
1593,Pancreatitis
1594,"Pancreatitis, Hereditary"
1595,Spondyloepiphyseal Dysplasia Congenita
1596,Pseudoachondroplasia
1597,"Mucopolysaccharidosis, Type Iiia"
1598,Pyle Disease
1599,Pyle Disease
1600,Fibrous Dysplasia
1601,Grange Syndrome
1602,Pycnodysostosis
1603,"Mucopolysaccharidosis, Type Iiib"
1604,"Otospondylomegaepiphyseal Dysplasia, Autosomal Recessive"
1605,"Otopalatodigital Syndrome, Type I"
1606,Stuve-Wiedemann Syndrome
1607,Osteoblastoma
1608,Osteoblastoma
1609,Osteoblastoma
1610,"Otopalatodigital Syndrome, Type Ii"
1611,Leri-Weill Dyschondrosteosis
1612,Leri-Weill Dyschondrosteosis
1613,"Mucopolysaccharidosis, Type Ix"
1614,Rheumatoid Arthritis Interstitial Lung Disease
1615,Rheumatoid Arthritis Interstitial Lung Disease
1616,"Mucopolysaccharidosis, Type Iiic"
1617,Chromosome 2q37 Deletion Syndrome
1618,"Mucopolysaccharidosis, Type Iiid"
1619,Lethal Congenital Contracture Syndrome
1620,Schneckenbecken Dysplasia
1621,Lethal Congenital Contracture Syndrome 5
1622,"Cataracts, Growth Hormone Deficiency, Sensory Neuropathy, Sensorineural Hearing Loss, and Skeletal Dysplasia"
1623,Lethal Congenital Contracture Syndrome 10
1624,Lethal Congenital Contracture Syndrome 3
1625,Gurrieri Syndrome
1626,Stratton-Parker Syndrome
1627,Early Yaws
1628,Early Yaws
1629,"Mucopolysaccharidosis Type 2, Severe Form"
1630,Late Yaws
1631,Late Yaws
1632,"Brachydactyly, Mononen Type"
1633,Panner Disease
1634,Long Bones of Lower Limb Cancer
1635,"Fanconi Anemia, Complementation Group a"
1636,"Fanconi Anemia, Complementation Group a"
1637,Hypophosphatasia
1638,Hypophosphatasia
1639,Alkaptonuria
1640,Alkaptonuria
1641,Aromatase Deficiency
1642,Aromatase Deficiency
1643,Autosomal Recessive Malignant Osteopetrosis
1644,"Spondyloepimetaphyseal Dysplasia, Matrilin-3 Related"
1645,Desbuquois Dysplasia 1
1646,"Acromesomelic Dysplasia, Hunter-Thompson Type"
1647,Spondyloperipheral Dysplasia
1648,Primary Bone Lymphoma
1649,Calvarial Doughnut Lesions with Bone Fragility
1650,Myotonia with Skeletal Abnormalities and Mental Retardation
1651,"Hypogonadism, Male, with Mental Retardation and Skeletal Anomalies"
1652,"Osteogenesis Imperfecta Congenita, Microcephaly, and Cataracts"
1653,Beemer Lethal Malformation Syndrome
1654,Lissencephaly Type Iii and Bone Dysplasia
1655,"Pseudohermaphroditism, Female, with Skeletal Anomalies"
1656,Multicentric Osteolysis-Nodulosis-Arthropathy Spectrum
1657,Hypotrichosis-Osteolysis-Periodontitis-Palmoplantar Keratoderma Syndrome
1658,Short Stature-Advanced Bone Age-Early-Onset Osteoarthritis Syndrome
1659,Mixed Sclerosing Bone Dystrophy with Extra-Skeletal Manifestations
1660,Roberts Syndrome
1661,"Trichorhinophalangeal Syndrome, Type Ii"
1662,Caffey Disease
1663,Caffey Disease
1664,Van Buchem Disease
1665,"Thanatophoric Dysplasia, Type Ii"
1666,Baller-Gerold Syndrome
1667,Infantile Myofibromatosis
1668,Robinow Syndrome
1669,"Achondrogenesis, Type Ia"
1670,Hereditary Multiple Exostoses
1671,Brody Myopathy
1672,Autosomal Dominant Robinow Syndrome
1673,"Hypophosphatasia, Childhood"
1674,"Pseudohypoparathyroidism, Type Ic"
1675,"Spondylocostal Dysostosis, Autosomal Recessive"
1676,Osteonecrosis of the Jaw
1677,Endocrine-Cerebroosteodysplasia
1678,Endocrine-Cerebroosteodysplasia
1679,Lateral Meningocele Syndrome
1680,Metatropic Dysplasia
1681,Trichodentoosseous Syndrome
1682,Singleton-Merten Syndrome
1683,Dysosteosclerosis
1684,"Spondyloepimetaphyseal Dysplasia, Genevieve Type"
1685,Sprengel Deformity
1686,"Dyssegmental Dysplasia, Silverman-Handmaker Type"
1687,"Dyssegmental Dysplasia, Silverman-Handmaker Type"
1688,"Spondyloepimetaphyseal Dysplasia, Shohat Type"
1689,Scarf Syndrome
1690,Petrositis
1691,Petrositis
1692,Petrositis
1693,Grant Syndrome
1694,Brachyolmia Type 2
1695,Ulna Metaphyseal Dysplasia Syndrome
1696,Trichorhinophalangeal Syndrome Type 1 and 3
1697,Pelger-Huet Anomaly with Mild Skeletal Anomalies
1698,Arthritis
1699,Arthritis
1700,Arthritis
1701,Crouzon Syndrome
1702,Crouzon Syndrome
1703,Myopathy
1704,Myopathy
1705,Myopathy
1706,Mucolipidosis Ii Alpha/beta
1707,Holt-Oram Syndrome
1708,Ellis-Van Creveld Syndrome
1709,Ellis-Van Creveld Syndrome
1710,"Hypophosphatemic Rickets, X-Linked Dominant"
1711,Mucolipidosis Iv
1712,Mucolipidosis Iii Alpha/beta
1713,"Pseudohypoparathyroidism, Type Ib"
1714,Occipital Horn Syndrome
1715,Homocystinuria
1716,"Metaphyseal Chondrodysplasia, Schmid Type"
1717,"Epiphyseal Dysplasia, Multiple, 1"
1718,Rhizomelic Chondrodysplasia Punctata
1719,Rhizomelic Chondrodysplasia Punctata
1720,Larsen Syndrome
1721,Craniofrontonasal Syndrome
1722,Klippel-Feil Syndrome
1723,"Rhizomelic Chondrodysplasia Punctata, Type 2"
1724,"Rhizomelic Chondrodysplasia Punctata, Type 2"
1725,Frontometaphyseal Dysplasia
1726,Congenital Dyserythropoietic Anemia
1727,Mucolipidosis Iii Gamma
1728,Larsen-Like Syndrome
1729,"Patella, Chondromalacia of"
1730,"Patella, Chondromalacia of"
1731,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 3
1732,Acheiropody
1733,Acheiropody
1734,Craniolenticulosutural Dysplasia
1735,"Anemia, Congenital Dyserythropoietic, Type Ia"
1736,Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 1
1737,Dental Anomalies and Short Stature
1738,Dental Anomalies and Short Stature
1739,Smith-Mccort Dysplasia 1
1740,Potocki-Shaffer Syndrome
1741,"Rhizomelic Chondrodysplasia Punctata, Type 3"
1742,"Rhizomelic Chondrodysplasia Punctata, Type 3"
1743,"Myopathy, Lactic Acidosis, and Sideroblastic Anemia 1"
1744,"Short Stature, Onychodysplasia, Facial Dysmorphism, and Hypotrichosis"
1745,"Short Stature, Onychodysplasia, Facial Dysmorphism, and Hypotrichosis"
1746,"Chondrodysplasia, Grebe Type"
1747,Langer Mesomelic Dysplasia
1748,"Anemia, Congenital Dyserythropoietic, Type Ii"
1749,Transient Arthritis
1750,Hyperostosis Cranialis Interna
1751,"Anemia, Congenital Dyserythropoietic, Type Iii"
1752,"Atelosteogenesis, Type Iii"
1753,"Spondylometaepiphyseal Dysplasia, Short Limb-Hand Type"
1754,Weismann-Netter Syndrome
1755,Spondylometaphyseal Dysplasia with Cone-Rod Dystrophy
1756,Angel-Shaped Phalangoepiphyseal Dysplasia
1757,"Spondyloepimetaphyseal Dysplasia, Missouri Type"
1758,"Spondyloepimetaphyseal Dysplasia with Joint Laxity, Type 2"
1759,Brachyolmia Type 4 with Mild Epiphyseal and Metaphyseal Changes
1760,"Spondyloepimetaphyseal Dysplasia, Aggrecan Type"
1761,Spondylo-Megaepiphyseal-Metaphyseal Dysplasia
1762,Craniometadiaphyseal Dysplasia
1763,"Camptodactyly with Muscular Hypoplasia, Skeletal Dysplasia, and Abnormal Palmar Creases"
1764,Fibular Hemimelia
1765,"Short Stature Syndrome, Brussels Type"
1766,Orbital Osteomyelitis
1767,Sinding-Larsen-Johansson Disease
1768,Diamond-Blackfan Anemia
1769,Diamond-Blackfan Anemia
1770,Hereditary Spastic Paraplegia
1771,Scheie Syndrome
1772,Scheie Syndrome
1773,Dyskeratosis Congenita
1774,Dyskeratosis Congenita
1775,Kallmann Syndrome
1776,Kallmann Syndrome
1777,Treacher Collins Syndrome 1
1778,Treacher Collins Syndrome 1
1779,"Mucopolysaccharidosis, Type Vi"
1780,Neutropenia
1781,Neutropenia
1782,Malignant Hyperthermia
1783,Malignant Hyperthermia
1784,Malignant Hyperthermia
1785,Spondylocarpotarsal Synostosis Syndrome
1786,Spondylocarpotarsal Synostosis Syndrome
1787,Spondylocarpotarsal Synostosis Syndrome
1788,Syphilis
1789,Syphilis
1790,Cutis Laxa
1791,Polymyositis
1792,Polymyositis
1793,Severe Congenital Neutropenia
1794,"Spastic Paraplegia 3, Autosomal Dominant"
1795,"Spastic Paraplegia 3, Autosomal Dominant"
1796,Stickler Syndrome
1797,Aarskog-Scott Syndrome
1798,Aarskog-Scott Syndrome
1799,Short-Rib Thoracic Dysplasia 3 with or Without Polydactyly
1800,Short-Rib Thoracic Dysplasia 3 with or Without Polydactyly
1801,Relapsing Polychondritis
1802,Relapsing Polychondritis
1803,Short-Rib Thoracic Dysplasia 1 with or Without Polydactyly
1804,Short-Rib Thoracic Dysplasia 1 with or Without Polydactyly
1805,"Brachydactyly, Type A1"
1806,"Hypophosphatasia, Adult"
1807,Agnathia-Otocephaly Complex
1808,Agnathia-Otocephaly Complex
1809,"Spastic Paraplegia 20, Autosomal Recessive"
1810,"Spastic Paraplegia 20, Autosomal Recessive"
1811,"Spastic Paraplegia 7, Autosomal Recessive"
1812,"Spastic Paraplegia 7, Autosomal Recessive"
1813,Short-Rib Thoracic Dysplasia 6 with or Without Polydactyly
1814,Short-Rib Thoracic Dysplasia 6 with or Without Polydactyly
1815,Short-Rib Thoracic Dysplasia 6 with or Without Polydactyly
1816,Cenani-Lenz Syndactyly Syndrome
1817,Cenani-Lenz Syndactyly Syndrome
1818,Jackson-Weiss Syndrome
1819,"Spastic Paraplegia 4, Autosomal Dominant"
1820,"Spastic Paraplegia 4, Autosomal Dominant"
1821,Craniodiaphyseal Dysplasia
1822,"Hypophosphatasia, Infantile"
1823,"Cutis Laxa, Autosomal Recessive, Type Ic"
1824,Short-Rib Thoracic Dysplasia 5 with or Without Polydactyly
1825,Autosomal Recessive Cutis Laxa Type I
1826,Fibrochondrogenesis
1827,"Robinow Syndrome, Autosomal Recessive"
1828,Myotonia Congenita
1829,Sclerosteosis
1830,Short-Rib Thoracic Dysplasia 9 with or Without Polydactyly
1831,Short-Rib Thoracic Dysplasia 9 with or Without Polydactyly
1832,"Fibular Aplasia or Hypoplasia, Femoral Bowing and Poly-, Syn-, and Oligodactyly"
1833,"Fibular Aplasia or Hypoplasia, Femoral Bowing and Poly-, Syn-, and Oligodactyly"
1834,"Hypophosphatemic Rickets, Autosomal Dominant"
1835,"Spastic Paraplegia 17, Autosomal Dominant"
1836,"Spastic Paraplegia 17, Autosomal Dominant"
1837,"Achondrogenesis, Type Ib"
1838,Acrodysostosis
1839,Short-Rib Thoracic Dysplasia 10 with or Without Polydactyly
1840,Short-Rib Thoracic Dysplasia 10 with or Without Polydactyly
1841,Pyomyositis
1842,Pyomyositis
1843,"Myopathy, X-Linked, with Excessive Autophagy"
1844,"Spastic Paraplegia 11, Autosomal Recessive"
1845,Asphyxiating Thoracic Dystrophy
1846,Central Serous Chorioretinopathy
1847,Sclerosteosis 2
1848,"Brachydactyly, Type B2"
1849,"Brachydactyly, Type B2"
1850,Short-Rib Thoracic Dysplasia 4 with or Without Polydactyly
1851,Progressive Muscular Atrophy
1852,"Myopathy, Centronuclear, 1"
1853,"Spastic Paraplegia 15, Autosomal Recessive"
1854,"Spastic Paraplegia 15, Autosomal Recessive"
1855,"Spastic Paraplegia 35, Autosomal Recessive"
1856,"Spastic Paraplegia 35, Autosomal Recessive"
1857,"Spastic Paraplegia 35, Autosomal Recessive"
1858,Autosomal Recessive Hypophosphatemic Rickets
1859,"Hyperparathyroidism, Neonatal Severe"
1860,Trench Fever
1861,Trench Fever
1862,Focal Myositis
1863,"Spastic Paraplegia 10, Autosomal Dominant"
1864,"Spastic Paraplegia 10, Autosomal Dominant"
1865,"Spastic Paraplegia 30, Autosomal Recessive"
1866,"Spastic Paraplegia 30, Autosomal Recessive"
1867,Autosomal Recessive Cutis Laxa Type Iii
1868,"Spastic Paraplegia 49, Autosomal Recessive"
1869,"Spastic Paraplegia 49, Autosomal Recessive"
1870,"Spastic Paraplegia 31, Autosomal Dominant"
1871,"Spastic Paraplegia 31, Autosomal Dominant"
1872,Malignant Hyperthermia 1
1873,"Myotonia, Potassium-Aggravated"
1874,Anauxetic Dysplasia 1
1875,"Epiphyseal Dysplasia, Multiple, 5"
1876,"Spastic Paraplegia 6, Autosomal Dominant"
1877,"Spastic Paraplegia 6, Autosomal Dominant"
1878,Congenital Syphilis
1879,Congenital Syphilis
1880,"Spastic Paraplegia 26, Autosomal Recessive"
1881,"Spastic Paraplegia 26, Autosomal Recessive"
1882,Parietal Foramina
1883,"Spastic Paraplegia 46, Autosomal Recessive"
1884,"Spastic Paraplegia 46, Autosomal Recessive"
1885,"Spastic Paraplegia 8, Autosomal Dominant"
1886,"Spastic Paraplegia 8, Autosomal Dominant"
1887,"Spastic Paraplegia 28, Autosomal Recessive"
1888,"Spastic Paraplegia 28, Autosomal Recessive"
1889,"Spastic Paraplegia 56, Autosomal Recessive"
1890,"Spastic Paraplegia 56, Autosomal Recessive"
1891,"Stickler Syndrome, Type I"
1892,"Myopathy, Centronuclear, 2"
1893,"Spastic Paraplegia 54, Autosomal Recessive"
1894,"Spastic Paraplegia 54, Autosomal Recessive"
1895,"Cutis Laxa, Autosomal Recessive, Type Iiia"
1896,"Cutis Laxa, Autosomal Recessive, Type Iiia"
1897,Giant Cell Reparative Granuloma
1898,Giant Cell Reparative Granuloma
1899,"Cutis Laxa, Autosomal Recessive, Type Ia"
1900,"Neutropenia, Severe Congenital, 3, Autosomal Recessive"
1901,"Spastic Paraplegia 42, Autosomal Dominant"
1902,"Spastic Paraplegia 42, Autosomal Dominant"
1903,"Spastic Paraplegia 73, Autosomal Dominant"
1904,"Spastic Paraplegia 73, Autosomal Dominant"
1905,"Spastic Paraplegia 48, Autosomal Recessive"
1906,"Spastic Paraplegia 48, Autosomal Recessive"
1907,"Spastic Paraplegia 61, Autosomal Recessive"
1908,"Spastic Paraplegia 61, Autosomal Recessive"
1909,"Dyskeratosis Congenita, Autosomal Dominant 6"
1910,"Spastic Paraplegia 12, Autosomal Dominant"
1911,"Spastic Paraplegia 12, Autosomal Dominant"
1912,"Neutropenia, Severe Congenital, 5, Autosomal Recessive"
1913,Sclerosteosis 1
1914,"Spastic Paraplegia 55, Autosomal Recessive"
1915,"Spastic Paraplegia 55, Autosomal Recessive"
1916,"Spastic Paraplegia 18, Autosomal Recessive"
1917,"Spastic Paraplegia 18, Autosomal Recessive"
1918,Dysplasia Epiphysealis Hemimelica
1919,Autosomal Recessive Stickler Syndrome
1920,"Spastic Paraplegia 25, Autosomal Recessive"
1921,"Spastic Paraplegia 25, Autosomal Recessive"
1922,"Spastic Paraplegia 13, Autosomal Dominant"
1923,"Spastic Paraplegia 13, Autosomal Dominant"
1924,"Cutis Laxa, Autosomal Recessive, Type Ib"
1925,"Spondylometaphyseal Dysplasia, Corner Fracture Type"
1926,Short-Rib Thoracic Dysplasia 2 with or Without Polydactyly
1927,"Spastic Paraplegia 57, Autosomal Recessive"
1928,"Spastic Paraplegia 57, Autosomal Recessive"
1929,Omodysplasia
1930,"Spastic Paraplegia 5a, Autosomal Recessive"
1931,"Spastic Paraplegia 5a, Autosomal Recessive"
1932,Tracheomalacia
1933,Tracheomalacia
1934,"Spastic Paraplegia 44, Autosomal Recessive"
1935,"Spastic Paraplegia 44, Autosomal Recessive"
1936,"Spastic Paraplegia 39, Autosomal Recessive"
1937,"Spastic Paraplegia 39, Autosomal Recessive"
1938,"Cutis Laxa, Autosomal Recessive, Type Iib"
1939,"Cutis Laxa, Autosomal Recessive, Type Iib"
1940,"Spastic Paraplegia 45, Autosomal Recessive"
1941,"Spastic Paraplegia 45, Autosomal Recessive"
1942,"Spastic Paraplegia 43, Autosomal Recessive"
1943,"Spastic Paraplegia 43, Autosomal Recessive"
1944,"Spastic Paraplegia 23, Autosomal Recessive"
1945,"Ulna and Fibula, Absence of, with Severe Limb Deficiency"
1946,"Kenny-Caffey Syndrome, Type 1"
1947,"Spastic Paraplegia 14, Autosomal Recessive"
1948,"Spastic Paraplegia 14, Autosomal Recessive"
1949,"Cutis Laxa, Autosomal Recessive, Type Iic"
1950,"Spastic Paraplegia 32, Autosomal Recessive"
1951,"Spastic Paraplegia 32, Autosomal Recessive"
1952,"Spastic Paraplegia 41, Autosomal Dominant"
1953,"Spastic Paraplegia 41, Autosomal Dominant"
1954,Rheumatic Myocarditis
1955,Rheumatic Myocarditis
1956,Rheumatic Myocarditis
1957,"Spondyloepimetaphyseal Dysplasia with Joint Laxity, Type 1, with or Without Fractures"
1958,"Spastic Paraplegia 79, Autosomal Recessive"
1959,"Spastic Paraplegia 24, Autosomal Recessive"
1960,"Spastic Paraplegia 24, Autosomal Recessive"
1961,"Stickler Syndrome, Type Ii"
1962,"Cutis Laxa, Autosomal Dominant 2"
1963,"Spastic Paraplegia 19, Autosomal Dominant"
1964,"Spastic Paraplegia 19, Autosomal Dominant"
1965,"Spastic Paraplegia 36, Autosomal Dominant"
1966,"Spastic Paraplegia 36, Autosomal Dominant"
1967,Short-Rib Thoracic Dysplasia 7 with or Without Polydactyly
1968,12q14 Microdeletion Syndrome
1969,"Spastic Paraplegia 72, Autosomal Recessive"
1970,"Spastic Paraplegia 29, Autosomal Dominant"
1971,"Spastic Paraplegia 29, Autosomal Dominant"
